policy,target,bias,target_add_base,target_add_policy,delta_target_add,delta_total_cost
pv_remun_DE,photovoltaics@DE,0.0,80.17037396607336,80.17037396607336,0.0,0.0
pv_remun_DE,photovoltaics@DE,0.05,80.53757460775498,83.38767649041296,2.850101882657981,-466.80683895386755
pv_remun_DE,photovoltaics@DE,0.1,80.4512245217498,86.32840380926928,5.877179287519482,-219.21167990448885
pv_remun_DE,photovoltaics@DE,0.2,83.0828700687646,89.75534034182428,6.672470273059673,1441.2891317240428
pv_remun_DE,photovoltaics@DE,0.3,84.59520730619867,86.2389623831264,1.6437550769277323,4176.612435976043
pv_remun_DE,photovoltaics@DE,0.4,83.24329575362461,92.88706737305367,9.64377161942906,-2229.955790993292
pv_remun_DE,photovoltaics@DE,0.5,80.35410324703867,107.71089080564109,27.35678755860242,-7635.31304546562
pv_remun_DE,photovoltaics@DE,0.6,73.1989466096924,103.1554919869489,29.956545377256504,-7047.837210409809
pv_remun_DE,photovoltaics@DE,0.7,74.67548864391308,134.36437340429364,59.68888476038056,-23551.101007293444
pv_remun_DE,photovoltaics@DE,0.8,80.09522762193126,309.9967811259734,229.90155350404217,-28782.088052310748
pv_remun_DE,photovoltaics@DE,0.9,83.68219733640554,336.1874949360026,252.5052975995971,-19838.052562563913
pv_remun_DE,photovoltaics@DE,0.95,82.90289420616557,484.42889995107265,401.5260057449071,-7825.003807625268
pv_remun_DE,photovoltaics@DE,1.0,83.72135030270286,542.086211543141,458.36486124043813,-1552.5004548779689
hp_capex_DE,heat_pump@DE,0.0,112.87173774365769,112.87173774365769,0.0,0.0
hp_capex_DE,heat_pump@DE,0.05,113.09158068350611,113.09158189680846,1.2133023545857213e-06,-0.006812081206589937
hp_capex_DE,heat_pump@DE,0.1,113.09566734582366,113.28000263495566,0.18433528913200803,-123.25849575642496
hp_capex_DE,heat_pump@DE,0.2,114.4408919988335,114.64062372093196,0.19973172209846268,-1021.4992968230508
hp_capex_DE,heat_pump@DE,0.3,111.23431397582502,117.27022062942304,6.035906653598019,-3003.9913610094227
hp_capex_DE,heat_pump@DE,0.4,111.77252742284392,115.98291353527337,4.210386112429447,-13414.09888342279
hp_capex_DE,heat_pump@DE,0.5,106.56796333028552,113.61199062057791,7.044027290292391,-4037.588483601343
hp_capex_DE,heat_pump@DE,0.6,106.08319318890554,121.75707950662937,15.673886317723827,-16961.30315253162
hp_capex_DE,heat_pump@DE,0.7,108.9670265024533,121.71243418383199,12.745407681378694,-18695.2857964735
hp_capex_DE,heat_pump@DE,0.8,114.70888755981136,124.15960513836043,9.450717578549074,-15884.46615809109
hp_capex_DE,heat_pump@DE,0.9,120.26567624436754,129.5900662307299,9.324389986362348,-10156.141191425035
hp_capex_DE,heat_pump@DE,0.95,123.89091870829768,129.6456802041622,5.754761495864528,-5978.1871063192375
hp_capex_DE,heat_pump@DE,1.0,125.89469599096398,129.66438733803668,3.769691347072694,-4688.076687984634
gasboiler_co2_DE,natural_gas_boiler@DE,0.0,116.28463931390971,116.28463931390971,0.0,0.0
gasboiler_co2_DE,natural_gas_boiler@DE,0.05,116.284639572916,116.28463954730643,-2.5609580234231544e-08,0.03570325835607946
gasboiler_co2_DE,natural_gas_boiler@DE,0.1,116.2846392849712,116.28463937595996,9.098874897972564e-08,-0.04867756296880543
gasboiler_co2_DE,natural_gas_boiler@DE,0.2,116.28463949386776,116.28463957022184,7.635408394435217e-08,0.008183629950508475
gasboiler_co2_DE,natural_gas_boiler@DE,0.3,116.2846353256308,116.28463940592141,4.080290608499126e-06,0.7628879647236317
gasboiler_co2_DE,natural_gas_boiler@DE,0.4,115.67197108701066,116.2846390470739,0.6126679600632343,571.6615942104254
gasboiler_co2_DE,natural_gas_boiler@DE,0.5,116.28462971625073,119.18298684519155,2.898357128940816,4283.161171082873
gasboiler_co2_DE,natural_gas_boiler@DE,0.6,114.97940687737427,120.08853195881285,5.109125081438577,5133.004903205903
gasboiler_co2_DE,natural_gas_boiler@DE,0.7,115.2613597979979,125.2886700821288,10.027310284130905,11741.162946538767
gasboiler_co2_DE,natural_gas_boiler@DE,0.8,117.91198630538449,136.15235998025582,18.240373674871336,21944.349294570507
gasboiler_co2_DE,natural_gas_boiler@DE,0.9,123.38028653042873,135.2791406746506,11.898854144221858,14360.904400936794
gasboiler_co2_DE,natural_gas_boiler@DE,0.95,121.01619432229214,134.91504205580745,13.89884773351531,15206.570181201445
gasboiler_co2_DE,natural_gas_boiler@DE,1.0,119.01241632035304,135.53258705402726,16.52017073367422,16129.073079251917
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.0,19.315322669076345,19.315322669076345,0.0,0.0
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.05,19.35160945972408,19.523304052373547,0.17169459264946596,-50.17870852723718
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.1,18.581671825362093,19.6496525618737,1.0679807365116076,890.9674596742261
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.2,18.559888819964417,20.519701915333375,1.9598130953689576,4715.888701111078
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.3,17.566696416957697,20.8253057073233,3.2586092903656017,11110.15968846879
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.4,19.542655882240247,20.97230819519786,1.4296523129576144,2509.4699774500914
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.5,19.24998703255513,21.185315001235576,1.935327968680447,7090.90318312915
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.6,20.883070625534298,22.387483060105993,1.5044124345716945,8490.899735777406
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.7,20.577615873435917,22.694946717615817,2.1173308441799,8196.61955619976
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.8,17.520537830543823,23.395578322906427,5.875040492362604,10930.424104886828
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.9,14.331722530462947,24.75102464036571,10.419302109902763,7279.283599960385
gasturbine_capmarket_IT,natural_gas_turbine@IT,0.95,14.586357829287637,31.130456692957946,16.544098863670307,1243.9390448119957
gasturbine_capmarket_IT,natural_gas_turbine@IT,1.0,14.629596117195934,31.112334608130435,16.4827384909345,2618.826272659935
